event_id;event_name;event_time_real;event_counter;comment
6014;Erik Engelhardt Begin;00:00:34.160;1;empty
6015;Erik Engelhardt End;00:00:34.160;1;empty
6014;Erik Engelhardt Begin;00:02:34.454;2;empty
6015;Erik Engelhardt End;00:02:34.454;2;empty
6014;Erik Engelhardt Begin;00:02:44.143;3;empty
6015;Erik Engelhardt End;00:02:44.143;3;empty
6014;Erik Engelhardt Begin;00:02:51.179;4;empty
6015;Erik Engelhardt End;00:02:53.195;4;empty
6014;Erik Engelhardt Begin;00:04:14.430;5;empty
6015;Erik Engelhardt End;00:04:16.347;5;empty
6014;Erik Engelhardt Begin;00:04:28.265;6;empty
6015;Erik Engelhardt End;00:04:28.265;6;empty
6014;Erik Engelhardt Begin;00:04:48.092;7;empty
6015;Erik Engelhardt End;00:04:51.054;7;empty
6014;Erik Engelhardt Begin;00:04:53.509;8;empty
6015;Erik Engelhardt End;00:04:55.002;8;empty
6014;Erik Engelhardt Begin;00:05:39.494;9;empty
6015;Erik Engelhardt End;00:05:40.558;9;empty
6014;Erik Engelhardt Begin;00:05:55.265;10;empty
6015;Erik Engelhardt End;00:06:01.923;10;empty
6014;Erik Engelhardt Begin;00:06:16.457;11;empty
6015;Erik Engelhardt End;00:06:16.457;11;empty
6014;Erik Engelhardt Begin;00:07:03.613;12;empty
6015;Erik Engelhardt End;00:07:04.496;13;empty
6014;Erik Engelhardt Begin;00:08:51.897;13;empty
6015;Erik Engelhardt End;00:08:51.897;13;empty
6014;Erik Engelhardt Begin;00:09:10.207;14;empty
6015;Erik Engelhardt End;00:09:11.160;14;empty
6014;Erik Engelhardt Begin;00:11:21.566;15;empty
6015;Erik Engelhardt End;00:11:22.614;15;empty
6014;Erik Engelhardt Begin;00:12:06.018;16;empty
6015;Erik Engelhardt End;00:12:06.018;16;empty
6014;Erik Engelhardt Begin;00:12:38.701;17;empty
6015;Erik Engelhardt End;00:12:44.624;17;empty
6014;Erik Engelhardt Begin;00:13:58.527;18;empty
6015;Erik Engelhardt End;00:13:58.527;18;empty
6014;Erik Engelhardt Begin;00:14:44.301;19;empty
6015;Erik Engelhardt End;00:14:48.876;19;empty
6014;Erik Engelhardt Begin;00:17:01.699;20;empty
6015;Erik Engelhardt End;00:17:08.780;20;empty
6014;Erik Engelhardt Begin;00:17:42.895;21;empty
6015;Erik Engelhardt End;00:17:43.813;21;empty
6014;Erik Engelhardt Begin;00:17:47.253;22;empty
6015;Erik Engelhardt End;00:17:49.979;22;empty
6014;Erik Engelhardt Begin;00:18:29.163;23;empty
6015;Erik Engelhardt End;00:18:29.846;23;empty
6014;Erik Engelhardt Begin;00:19:46.833;24;empty
6015;Erik Engelhardt End;00:19:48.144;24;empty
6014;Erik Engelhardt Begin;00:20:03.852;25;empty
6015;Erik Engelhardt End;00:20:05.511;25;empty
6014;Erik Engelhardt Begin;00:20:38.673;26;empty
6015;Erik Engelhardt End;00:20:40.232;27;empty
6014;Erik Engelhardt Begin;00:20:56.590;27;empty
6015;Erik Engelhardt End;00:20:59.530;27;empty
6014;Erik Engelhardt Begin;00:21:59.157;28;empty
6015;Erik Engelhardt End;00:22:02.239;28;empty
6014;Erik Engelhardt Begin;00:22:38.132;29;empty
6015;Erik Engelhardt End;00:22:38.132;29;empty
6014;Erik Engelhardt Begin;00:23:10.423;30;empty
6015;Erik Engelhardt End;00:23:10.423;30;empty
6014;Erik Engelhardt Begin;00:24:27.559;31;empty
6015;Erik Engelhardt End;00:24:27.993;31;empty
6014;Erik Engelhardt Begin;00:27:57.437;32;empty
6015;Erik Engelhardt End;00:27:59.361;33;empty
6014;Erik Engelhardt Begin;00:28:01.438;33;empty
6015;Erik Engelhardt End;00:28:01.438;33;empty
6014;Erik Engelhardt Begin;00:28:13.806;34;empty
6015;Erik Engelhardt End;00:28:14.818;34;empty



Statistic:;
Type:;Count:;
New Event;0;
;0;
;0;
;0;
New Event;0;
;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
;0;
;0;
;0;
;0;
;0;
;0;
Erik Engelhardt End;34;
Erik Engelhardt Begin;34;
