event_id;event_name;event_time_real;event_counter;comment
6014;Kevin Baer Begin;00:00:20.488;1;empty
6015;Kevin Baer End;00:00:21.607;1;empty
6014;Kevin Baer Begin;00:00:59.454;2;empty
6015;Kevin Baer End;00:00:59.454;2;empty
6014;Kevin Baer Begin;00:02:03.967;3;empty
6015;Kevin Baer End;00:02:03.967;3;empty
6014;Kevin Baer Begin;00:02:57.119;4;empty
6015;Kevin Baer End;00:03:00.167;4;empty
6014;Kevin Baer Begin;00:03:07.807;5;empty
6015;Kevin Baer End;00:03:08.729;5;empty
6014;Kevin Baer Begin;00:05:20.427;6;empty
6015;Kevin Baer End;00:05:20.427;6;empty
6014;Kevin Baer Begin;00:08:02.857;7;empty
6015;Kevin Baer End;00:08:05.001;7;empty
6014;Kevin Baer Begin;00:09:12.640;8;empty
6015;Kevin Baer End;00:09:12.640;8;empty
6014;Kevin Baer Begin;00:09:36.840;9;empty
6015;Kevin Baer End;00:09:39.325;9;empty
6014;Kevin Baer Begin;00:11:33.221;10;empty
6015;Kevin Baer End;00:11:33.221;10;empty
6014;Kevin Baer Begin;00:12:15.559;11;empty
6015;Kevin Baer End;00:12:15.559;11;empty
6014;Kevin Baer Begin;00:12:16.814;12;empty
6015;Kevin Baer End;00:12:19.924;12;empty
6014;Kevin Baer Begin;00:13:14.094;13;empty
6015;Kevin Baer End;00:13:15.281;13;empty
6014;Kevin Baer Begin;00:13:17.818;14;empty
6015;Kevin Baer End;00:13:19.902;14;empty
6014;Kevin Baer Begin;00:14:12.784;15;empty
6015;Kevin Baer End;00:14:13.601;15;empty
6014;Kevin Baer Begin;00:14:16.828;16;empty
6015;Kevin Baer End;00:14:16.828;16;empty
6014;Kevin Baer Begin;00:14:19.479;17;empty
6015;Kevin Baer End;00:14:20.787;17;empty
6014;Kevin Baer Begin;00:15:53.101;18;empty
6015;Kevin Baer End;00:15:54.612;18;empty
6014;Kevin Baer Begin;00:21:33.074;19;empty
6015;Kevin Baer End;00:21:34.260;19;empty
6014;Kevin Baer Begin;00:21:54.065;20;empty
6015;Kevin Baer End;00:21:55.177;20;empty
6014;Kevin Baer Begin;00:23:23.628;21;empty
6015;Kevin Baer End;00:23:23.628;21;empty
6014;Kevin Baer Begin;00:24:15.717;22;empty
6015;Kevin Baer End;00:24:20.622;22;empty
6014;Kevin Baer Begin;00:25:22.561;23;empty
6015;Kevin Baer End;00:25:23.355;23;empty
6014;Kevin Baer Begin;00:25:24.190;24;empty
6015;Kevin Baer End;00:25:29.528;24;empty
6014;Kevin Baer Begin;00:28:52.308;25;empty
6015;Kevin Baer End;00:28:53.071;25;empty
6014;Kevin Baer Begin;00:29:22.110;26;empty
6015;Kevin Baer End;00:29:22.110;26;empty



Statistic:;
Type:;Count:;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
Kevin Baer End;26;
Kevin Baer Begin;26;
