event_id;event_name;event_time_real;event_counter;comment
6014;Leo Langhans Begin;00:00:04.082;1;empty
6015;Leo Langhans End;00:00:04.082;1;empty
6014;Leo Langhans Begin;00:03:09.767;2;empty
6015;Leo Langhans End;00:03:10.974;2;empty
6014;Leo Langhans Begin;00:06:30.460;3;empty
6015;Leo Langhans End;00:06:34.441;3;empty
6014;Leo Langhans Begin;00:07:40.774;4;empty
6015;Leo Langhans End;00:07:40.774;4;empty
6014;Leo Langhans Begin;00:12:20.532;5;empty
6015;Leo Langhans End;00:12:22.050;5;empty
6014;Leo Langhans Begin;00:13:15.758;6;empty
6015;Leo Langhans End;00:13:15.758;6;empty
6014;Leo Langhans Begin;00:14:53.572;7;empty
6015;Leo Langhans End;00:14:54.245;7;empty
6014;Leo Langhans Begin;00:15:51.401;8;empty
6015;Leo Langhans End;00:15:51.938;8;empty
6014;Leo Langhans Begin;00:20:08.659;9;empty
6015;Leo Langhans End;00:20:09.913;9;empty
6014;Leo Langhans Begin;00:21:35.669;10;empty
6015;Leo Langhans End;00:21:41.332;10;empty
6014;Leo Langhans Begin;00:21:52.822;11;empty
6015;Leo Langhans End;00:21:52.822;11;empty
6014;Leo Langhans Begin;00:21:56.414;12;empty
6015;Leo Langhans End;00:21:56.414;12;empty
6014;Leo Langhans Begin;00:24:22.108;13;empty
6015;Leo Langhans End;00:24:25.936;13;empty
6014;Leo Langhans Begin;00:25:11.609;14;empty
6015;Leo Langhans End;00:25:11.609;14;empty
6014;Leo Langhans Begin;00:26:47.499;15;empty
6015;Leo Langhans End;00:26:48.203;15;empty
6014;Leo Langhans Begin;00:27:23.266;16;empty
6015;Leo Langhans End;00:27:23.266;16;empty
6014;Leo Langhans Begin;00:27:53.835;17;empty
6015;Leo Langhans End;00:27:55.730;17;empty
6014;Leo Langhans Begin;00:28:33.538;18;empty
6015;Leo Langhans End;00:28:34.564;18;empty
6014;Leo Langhans Begin;00:28:59.773;19;empty
6015;Leo Langhans End;00:29:01.062;19;empty



Statistic:;
Type:;Count:;
;0;
;0;
;0;
;0;
New Event;0;
;0;
;0;
New Event;0;
;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
;0;
;0;
Leo Langhans Begin;19;
Leo Langhans End;19;
;0;
