event_id;event_name;event_time_real;event_counter;comment
6014;Niklas Welzlein Begin;00:01:28.137;1;empty
6015;Niklas Welzlein End;00:01:29.572;1;empty
6014;Niklas Welzlein Begin;00:01:46.345;2;empty
6015;Niklas Welzlein End;00:01:47.443;2;empty
6014;Niklas Welzlein Begin;00:02:12.793;3;empty
6015;Niklas Welzlein End;00:02:14.755;3;empty
6014;Niklas Welzlein Begin;00:02:26.033;4;empty
6015;Niklas Welzlein End;00:02:27.109;4;empty
6014;Niklas Welzlein Begin;00:02:48.984;5;empty
6015;Niklas Welzlein End;00:02:48.984;5;empty
6014;Niklas Welzlein Begin;00:03:36.905;6;empty
6015;Niklas Welzlein End;00:03:36.905;6;empty
6014;Niklas Welzlein Begin;00:04:08.555;7;empty
6015;Niklas Welzlein End;00:04:09.465;7;empty
6014;Niklas Welzlein Begin;00:05:24.533;8;empty
6015;Niklas Welzlein End;00:05:24.533;8;empty
6014;Niklas Welzlein Begin;00:05:48.721;9;empty
6015;Niklas Welzlein End;00:05:49.808;9;empty
6014;Niklas Welzlein Begin;00:06:28.715;10;empty
6015;Niklas Welzlein End;00:06:28.715;10;empty
6014;Niklas Welzlein Begin;00:06:34.689;11;empty
6015;Niklas Welzlein End;00:06:34.689;11;empty
6014;Niklas Welzlein Begin;00:08:24.242;12;empty
6015;Niklas Welzlein End;00:08:26.291;12;empty
6014;Niklas Welzlein Begin;00:08:30.291;13;empty
6015;Niklas Welzlein End;00:08:32.048;13;empty
6014;Niklas Welzlein Begin;00:10:10.267;14;empty
6015;Niklas Welzlein End;00:10:10.267;14;empty
6014;Niklas Welzlein Begin;00:10:29.190;15;empty
6015;Niklas Welzlein End;00:10:29.190;15;empty
6014;Niklas Welzlein Begin;00:12:00.154;16;empty
6015;Niklas Welzlein End;00:12:01.693;16;empty
6014;Niklas Welzlein Begin;00:12:34.085;17;empty
6015;Niklas Welzlein End;00:12:36.532;17;empty
6014;Niklas Welzlein Begin;00:14:54.364;18;empty
6015;Niklas Welzlein End;00:14:58.227;18;empty
6014;Niklas Welzlein Begin;00:15:02.661;19;empty
6015;Niklas Welzlein End;00:15:03.803;19;empty
6014;Niklas Welzlein Begin;00:15:18.834;20;empty
6015;Niklas Welzlein End;00:15:20.534;20;empty
6014;Niklas Welzlein Begin;00:16:05.467;21;empty
6015;Niklas Welzlein End;00:16:05.467;21;empty
6014;Niklas Welzlein Begin;00:16:18.532;22;empty
6015;Niklas Welzlein End;00:16:19.750;22;empty
6014;Niklas Welzlein Begin;00:17:12.645;23;empty
6015;Niklas Welzlein End;00:17:13.446;23;empty
6014;Niklas Welzlein Begin;00:17:31.952;24;empty
6015;Niklas Welzlein End;00:17:34.074;24;empty
6014;Niklas Welzlein Begin;00:17:45.398;25;empty
6015;Niklas Welzlein End;00:17:46.424;25;empty
6014;Niklas Welzlein Begin;00:19:32.397;26;empty
6015;Niklas Welzlein End;00:19:33.767;26;empty
6014;Niklas Welzlein Begin;00:19:44.131;27;empty
6015;Niklas Welzlein End;00:19:45.839;27;empty
6014;Niklas Welzlein Begin;00:19:51.456;28;empty
6015;Niklas Welzlein End;00:19:51.456;28;empty
6014;Niklas Welzlein Begin;00:20:12.637;29;empty
6015;Niklas Welzlein End;00:20:12.637;29;empty
6014;Niklas Welzlein Begin;00:20:29.684;30;empty
6015;Niklas Welzlein End;00:20:32.179;30;empty
6014;Niklas Welzlein Begin;00:21:06.565;31;empty
6015;Niklas Welzlein End;00:21:08.047;31;empty
6014;Niklas Welzlein Begin;00:21:57.700;32;empty
6015;Niklas Welzlein End;00:21:57.700;32;empty
6014;Niklas Welzlein Begin;00:22:42.360;33;empty
6015;Niklas Welzlein End;00:22:43.253;33;empty
6014;Niklas Welzlein Begin;00:22:55.546;34;empty
6015;Niklas Welzlein End;00:22:56.300;34;empty
6014;Niklas Welzlein Begin;00:24:03.950;35;empty
6015;Niklas Welzlein End;00:24:06.311;35;empty
6014;Niklas Welzlein Begin;00:25:42.958;36;empty
6015;Niklas Welzlein End;00:25:42.958;36;empty
6014;Niklas Welzlein Begin;00:26:45.113;37;empty
6015;Niklas Welzlein End;00:26:45.113;37;empty
6014;Niklas Welzlein Begin;00:27:48.783;38;empty
6015;Niklas Welzlein End;00:27:49.714;38;empty
6014;Niklas Welzlein Begin;00:28:02.268;39;empty
6015;Niklas Welzlein End;00:28:02.268;39;empty
6014;Niklas Welzlein Begin;00:29:35.017;40;empty
6015;Niklas Welzlein End;00:29:37.271;40;empty



Statistic:;
Type:;Count:;
New Event;0;
New Event;0;
New Event;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
New Event;0;
New Event;0;
New Event;0;
;0;
;0;
Niklas Welzlein Begin;40;
Niklas Welzlein End;40;
