event_id;event_name;event_time_real;event_counter;comment
6014;Philipp Harlass Begin;00:01:32.412;1;empty
6015;Philipp Harlass End;00:01:34.359;1;empty
6014;Philipp Harlass Begin;00:01:50.812;2;empty
6015;Philipp Harlass End;00:01:51.417;2;empty
6014;Philipp Harlass Begin;00:02:16.700;3;empty
6015;Philipp Harlass End;00:02:16.700;3;empty
6014;Philipp Harlass Begin;00:02:32.522;4;empty
6015;Philipp Harlass End;00:02:33.410;4;empty
6014;Philipp Harlass Begin;00:02:50.519;5;empty
6015;Philipp Harlass End;00:02:50.519;5;empty
6014;Philipp Harlass Begin;00:03:57.586;6;empty
6015;Philipp Harlass End;00:03:58.419;6;empty
6014;Philipp Harlass Begin;00:04:18.315;7;empty
6015;Philipp Harlass End;00:04:21.120;7;empty
6014;Philipp Harlass Begin;00:04:43.655;8;empty
6015;Philipp Harlass End;00:04:45.816;8;empty
6014;Philipp Harlass Begin;00:05:37.509;9;empty
6015;Philipp Harlass End;00:05:38.926;9;empty
6014;Philipp Harlass Begin;00:05:52.753;10;empty
6015;Philipp Harlass End;00:05:54.380;10;empty
6014;Philipp Harlass Begin;00:06:13.635;11;empty
6015;Philipp Harlass End;00:06:13.635;11;empty
6014;Philipp Harlass Begin;00:06:15.531;12;empty
6015;Philipp Harlass End;00:06:15.531;12;empty
6014;Philipp Harlass Begin;00:06:18.623;13;empty
6015;Philipp Harlass End;00:06:18.623;13;empty
6014;Philipp Harlass Begin;00:06:55.282;14;empty
6015;Philipp Harlass End;00:06:55.282;14;empty
6014;Philipp Harlass Begin;00:08:19.226;15;empty
6015;Philipp Harlass End;00:08:22.235;15;empty
6014;Philipp Harlass Begin;00:08:34.461;16;empty
6015;Philipp Harlass End;00:08:35.229;16;empty
6014;Philipp Harlass Begin;00:08:50.983;17;empty
6015;Philipp Harlass End;00:08:50.983;17;empty
6014;Philipp Harlass Begin;00:09:06.000;18;empty
6015;Philipp Harlass End;00:09:06.000;18;empty
6014;Philipp Harlass Begin;00:10:01.749;19;empty
6015;Philipp Harlass End;00:10:05.275;19;empty
6014;Philipp Harlass Begin;00:10:33.764;20;empty
6015;Philipp Harlass End;00:10:37.065;20;empty
6014;Philipp Harlass Begin;00:10:41.745;21;empty
6015;Philipp Harlass End;00:10:42.410;21;empty
6014;Philipp Harlass Begin;00:10:58.205;22;empty
6015;Philipp Harlass End;00:10:59.857;22;empty
6014;Philipp Harlass Begin;00:11:20.831;23;empty
6015;Philipp Harlass End;00:11:20.831;23;empty
6014;Philipp Harlass Begin;00:14:03.158;24;empty
6015;Philipp Harlass End;00:14:04.091;24;empty
6014;Philipp Harlass Begin;00:14:41.842;25;empty
6015;Philipp Harlass End;00:14:43.520;25;empty
6014;Philipp Harlass Begin;00:15:09.154;26;empty
6015;Philipp Harlass End;00:15:10.574;26;empty
6014;Philipp Harlass Begin;00:15:46.932;27;empty
6015;Philipp Harlass End;00:15:46.932;27;empty
6014;Philipp Harlass Begin;00:16:10.354;28;empty
6015;Philipp Harlass End;00:16:12.689;28;empty
6014;Philipp Harlass Begin;00:17:22.944;29;empty
6015;Philipp Harlass End;00:17:25.736;29;empty
6014;Philipp Harlass Begin;00:17:36.973;30;empty
6015;Philipp Harlass End;00:17:38.195;30;empty
6014;Philipp Harlass Begin;00:18:27.965;31;empty
6015;Philipp Harlass End;00:18:27.965;31;empty
6014;Philipp Harlass Begin;00:18:34.602;32;empty
6015;Philipp Harlass End;00:18:34.602;32;empty
6014;Philipp Harlass Begin;00:19:56.662;33;empty
6015;Philipp Harlass End;00:19:56.662;33;empty
6014;Philipp Harlass Begin;00:20:34.714;34;empty
6015;Philipp Harlass End;00:20:37.432;34;empty
6014;Philipp Harlass Begin;00:20:55.636;35;empty
6015;Philipp Harlass End;00:20:55.636;35;empty
6014;Philipp Harlass Begin;00:22:03.859;36;empty
6015;Philipp Harlass End;00:22:05.806;36;empty
6014;Philipp Harlass Begin;00:22:47.153;37;empty
6015;Philipp Harlass End;00:22:47.153;37;empty
6014;Philipp Harlass Begin;00:23:53.922;38;empty
6015;Philipp Harlass End;00:23:54.708;38;empty
6014;Philipp Harlass Begin;00:24:32.256;39;empty
6015;Philipp Harlass End;00:24:34.456;39;empty
6014;Philipp Harlass Begin;00:24:41.536;40;empty
6015;Philipp Harlass End;00:24:42.660;40;empty
6014;Philipp Harlass Begin;00:25:52.586;41;empty
6015;Philipp Harlass End;00:25:53.650;41;empty
6014;Philipp Harlass Begin;00:28:08.739;42;empty
6015;Philipp Harlass End;00:28:08.739;42;empty
6014;Philipp Harlass Begin;00:29:18.022;43;empty
6015;Philipp Harlass End;00:29:19.408;43;empty
6014;Philipp Harlass Begin;00:29:46.684;44;empty
6015;Philipp Harlass End;00:29:50.285;44;empty



Statistic:;
Type:;Count:;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
New Event;0;
New Event;0;
;0;
Philipp Harlass Begin;44;
Philipp Harlass End;44;
