event_id;event_name;event_time_real;event_counter;comment
6014;Willi Sommer Begin;00:01:23.078;1;empty
6015;Willi Sommer End;00:01:24.099;1;empty
6014;Willi Sommer Begin;00:01:36.064;2;empty
6015;Willi Sommer End;00:01:37.607;2;empty
6014;Willi Sommer Begin;00:01:39.481;3;empty
6015;Willi Sommer End;00:01:40.989;3;empty
6014;Willi Sommer Begin;00:01:52.633;4;empty
6015;Willi Sommer End;00:01:56.933;4;empty
6014;Willi Sommer Begin;00:02:08.668;5;empty
6015;Willi Sommer End;00:02:08.668;5;empty
6014;Willi Sommer Begin;00:02:17.655;6;empty
6015;Willi Sommer End;00:02:21.283;6;empty
6014;Willi Sommer Begin;00:02:29.322;7;empty
6015;Willi Sommer End;00:02:30.911;7;empty
6014;Willi Sommer Begin;00:02:35.512;8;empty
6015;Willi Sommer End;00:02:38.163;8;empty
6014;Willi Sommer Begin;00:03:55.126;9;empty
6015;Willi Sommer End;00:03:56.594;9;empty
6014;Willi Sommer Begin;00:03:59.490;10;empty
6015;Willi Sommer End;00:04:02.219;10;empty
6014;Willi Sommer Begin;00:04:56.400;11;empty
6015;Willi Sommer End;00:04:59.462;11;empty
6014;Willi Sommer Begin;00:05:22.100;12;empty
6015;Willi Sommer End;00:05:22.693;12;empty
6014;Willi Sommer Begin;00:05:34.747;13;empty
6015;Willi Sommer End;00:05:36.196;13;empty
6014;Willi Sommer Begin;00:05:42.024;14;empty
6015;Willi Sommer End;00:05:43.073;14;empty
6014;Willi Sommer Begin;00:06:52.564;15;empty
6015;Willi Sommer End;00:06:54.407;15;empty
6014;Willi Sommer Begin;00:06:56.133;16;empty
6015;Willi Sommer End;00:06:58.325;16;empty
6014;Willi Sommer Begin;00:08:07.660;17;empty
6015;Willi Sommer End;00:08:09.084;17;empty
6014;Willi Sommer Begin;00:08:13.734;18;empty
6015;Willi Sommer End;00:08:15.444;18;empty
6014;Willi Sommer Begin;00:08:17.262;19;empty
6015;Willi Sommer End;00:08:17.968;19;empty
6014;Willi Sommer Begin;00:08:36.348;20;empty
6015;Willi Sommer End;00:08:36.962;20;empty
6014;Willi Sommer Begin;00:10:06.568;21;empty
6015;Willi Sommer End;00:10:08.568;21;empty
6014;Willi Sommer Begin;00:10:31.234;22;empty
