event_id;event_name;event_time_real;event_counter;comment
6014;Kevin Baer Begin;00:01:12.401;1;empty
6015;Kevin Baer End;00:01:16.598;1;empty
6014;Kevin Baer Begin;00:01:41.032;2;empty
6015;Kevin Baer End;00:01:41.032;2;empty
6014;Kevin Baer Begin;00:02:13.718;3;empty
6015;Kevin Baer End;00:02:16.409;3;empty
6014;Kevin Baer Begin;00:04:02.341;4;empty
6015;Kevin Baer End;00:04:03.749;4;empty
6014;Kevin Baer Begin;00:04:43.685;5;empty
6015;Kevin Baer End;00:04:45.971;5;empty
6014;Kevin Baer Begin;00:05:01.707;6;empty
6015;Kevin Baer End;00:05:08.347;6;empty
6014;Kevin Baer Begin;00:06:09.805;7;empty
6015;Kevin Baer End;00:06:11.274;7;empty
6014;Kevin Baer Begin;00:06:13.021;8;empty
6015;Kevin Baer End;00:06:15.404;8;empty
6014;Kevin Baer Begin;00:08:32.408;9;empty
6015;Kevin Baer End;00:08:33.530;9;empty
6014;Kevin Baer Begin;00:09:59.146;10;empty
6015;Kevin Baer End;00:10:00.548;10;empty
6014;Kevin Baer Begin;00:12:08.600;11;empty
6015;Kevin Baer End;00:12:10.456;11;empty
6014;Kevin Baer Begin;00:12:18.176;12;empty
6015;Kevin Baer End;00:12:18.176;12;empty
6014;Kevin Baer Begin;00:14:55.576;13;empty
6015;Kevin Baer End;00:14:59.708;13;empty
6014;Kevin Baer Begin;00:18:52.436;14;empty
6015;Kevin Baer End;00:18:54.355;14;empty
6014;Kevin Baer Begin;00:20:04.614;15;empty
6015;Kevin Baer End;00:20:09.672;15;empty
6014;Kevin Baer Begin;00:20:59.332;16;empty
6015;Kevin Baer End;00:21:01.311;16;empty
6014;Kevin Baer Begin;00:22:41.832;17;empty
6015;Kevin Baer End;00:22:47.089;17;empty
6014;Kevin Baer Begin;00:23:44.822;18;empty
6015;Kevin Baer End;00:23:48.462;18;empty
6014;Kevin Baer Begin;00:24:18.135;19;empty
6015;Kevin Baer End;00:24:19.183;19;empty
6014;Kevin Baer Begin;00:24:21.370;20;empty
6015;Kevin Baer End;00:24:21.370;20;empty
6014;Kevin Baer Begin;00:25:23.248;21;empty
6015;Kevin Baer End;00:25:25.743;21;empty
6014;Kevin Baer Begin;00:25:37.787;22;empty
6015;Kevin Baer End;00:25:37.787;22;empty
6014;Kevin Baer Begin;00:25:42.765;23;empty
6015;Kevin Baer End;00:25:43.468;23;empty
6014;Kevin Baer Begin;00:25:45.918;24;empty
6015;Kevin Baer End;00:25:45.918;24;empty
6014;Kevin Baer Begin;00:27:01.143;25;empty
6015;Kevin Baer End;00:27:03.094;25;empty
6014;Kevin Baer Begin;00:27:44.595;26;empty
6015;Kevin Baer End;00:27:44.595;26;empty
6014;Kevin Baer Begin;00:28:21.981;27;empty
6015;Kevin Baer End;00:28:21.981;27;empty



Statistic:;
Type:;Count:;
;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
New Event;0;
;0;
New Event;0;
Kevin Baer End;27;
Kevin Baer Begin;27;
