event_id;event_name;event_time_real;event_counter;comment
6014;Sandro Schneider Begin;00:00:00.463;1;empty
6015;Sandro Schneider End;00:00:00.463;1;empty
6014;Sandro Schneider Begin;00:00:51.629;2;empty
6015;Sandro Schneider End;00:00:52.709;2;empty
6014;Sandro Schneider Begin;00:10:41.626;3;empty
6015;Sandro Schneider End;00:10:45.245;3;empty
6014;Sandro Schneider Begin;00:10:46.867;4;empty
6015;Sandro Schneider End;00:10:46.867;4;empty
6014;Sandro Schneider Begin;00:13:13.943;5;empty
6015;Sandro Schneider End;00:13:15.968;5;empty
6014;Sandro Schneider Begin;00:13:49.922;6;empty
6015;Sandro Schneider End;00:13:51.508;6;empty
6014;Sandro Schneider Begin;00:14:39.314;7;empty
6015;Sandro Schneider End;00:14:40.666;7;empty
6014;Sandro Schneider Begin;00:14:41.046;8;empty
6015;Sandro Schneider End;00:14:42.403;8;empty
6014;Sandro Schneider Begin;00:16:08.149;9;empty
6015;Sandro Schneider End;00:16:08.149;9;empty
6014;Sandro Schneider Begin;00:17:08.078;10;empty
6015;Sandro Schneider End;00:17:09.437;10;empty
6014;Sandro Schneider Begin;00:17:22.266;11;empty
6015;Sandro Schneider End;00:17:22.266;11;empty
6014;Sandro Schneider Begin;00:17:34.649;12;empty
6015;Sandro Schneider End;00:17:34.649;12;empty
6014;Sandro Schneider Begin;00:18:39.188;13;empty
6015;Sandro Schneider End;00:18:42.801;13;empty
6014;Sandro Schneider Begin;00:18:45.686;14;empty
6015;Sandro Schneider End;00:18:45.686;14;empty
6014;Sandro Schneider Begin;00:19:12.577;15;empty
6015;Sandro Schneider End;00:19:14.801;15;empty
6014;Sandro Schneider Begin;00:21:54.372;16;empty
6015;Sandro Schneider End;00:21:55.194;16;empty
6014;Sandro Schneider Begin;00:22:04.558;17;empty
6015;Sandro Schneider End;00:22:04.558;17;empty
6014;Sandro Schneider Begin;00:22:08.182;18;empty
6015;Sandro Schneider End;00:22:10.024;18;empty
6014;Sandro Schneider Begin;00:23:37.939;19;empty
6015;Sandro Schneider End;00:23:37.939;19;empty
6014;Sandro Schneider Begin;00:24:26.630;20;empty
6015;Sandro Schneider End;00:24:32.277;20;empty
6014;Sandro Schneider Begin;00:26:30.961;21;empty
6015;Sandro Schneider End;00:26:30.961;21;empty
6014;Sandro Schneider Begin;00:27:33.597;22;empty
6015;Sandro Schneider End;00:27:35.930;22;empty
6014;Sandro Schneider Begin;00:28:12.550;23;empty
6015;Sandro Schneider End;00:28:16.061;23;empty
6014;Sandro Schneider Begin;00:28:17.711;24;empty
6015;Sandro Schneider End;00:28:18.113;24;empty
6014;Sandro Schneider Begin;00:28:28.505;25;empty
6015;Sandro Schneider End;00:28:28.505;25;empty
6014;Sandro Schneider Begin;00:29:28.440;26;empty
6015;Sandro Schneider End;00:29:30.176;26;empty



Statistic:;
Type:;Count:;
;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
;0;
New Event;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
Sandro Schneider End;26;
Sandro Schneider Begin;26;
