event_id;event_name;event_time_real;event_counter;comment
6014;Vale Reitstetter Begin;00:01:06.455;1;empty
6015;Vale Reitstetter End;00:01:06.455;1;empty
6014;Vale Reitstetter Begin;00:01:44.448;2;empty
6015;Vale Reitstetter End;00:01:47.755;2;empty
6014;Vale Reitstetter Begin;00:02:09.018;3;empty
6015;Vale Reitstetter End;00:02:09.018;3;empty
6014;Vale Reitstetter Begin;00:03:04.305;4;empty
6015;Vale Reitstetter End;00:03:07.014;4;empty
6014;Vale Reitstetter Begin;00:03:44.166;5;empty
6015;Vale Reitstetter End;00:03:47.585;5;empty
6014;Vale Reitstetter Begin;00:04:34.811;6;empty
6015;Vale Reitstetter End;00:04:34.811;6;empty
6014;Vale Reitstetter Begin;00:04:58.329;7;empty
6015;Vale Reitstetter End;00:05:00.243;7;empty
6014;Vale Reitstetter Begin;00:05:20.105;8;empty
6015;Vale Reitstetter End;00:05:23.136;8;empty
6014;Vale Reitstetter Begin;00:05:59.153;9;empty
6015;Vale Reitstetter End;00:05:59.153;9;empty
6014;Vale Reitstetter Begin;00:06:01.363;10;empty
6015;Vale Reitstetter End;00:06:02.724;10;empty
6014;Vale Reitstetter Begin;00:06:20.645;11;empty
6015;Vale Reitstetter End;00:06:23.527;11;empty
6014;Vale Reitstetter Begin;00:06:40.512;12;empty
6015;Vale Reitstetter End;00:06:43.901;12;empty
6014;Vale Reitstetter Begin;00:07:48.366;13;empty
6015;Vale Reitstetter End;00:07:49.226;13;empty
6014;Vale Reitstetter Begin;00:07:51.781;14;empty
6015;Vale Reitstetter End;00:07:53.266;14;empty
6014;Vale Reitstetter Begin;00:08:25.516;15;empty
6015;Vale Reitstetter End;00:08:25.516;15;empty
6014;Vale Reitstetter Begin;00:08:28.265;16;empty
6015;Vale Reitstetter End;00:08:29.207;16;empty
6014;Vale Reitstetter Begin;00:09:08.083;17;empty
6015;Vale Reitstetter End;00:09:08.083;17;empty
6014;Vale Reitstetter Begin;00:09:47.766;18;empty
6015;Vale Reitstetter End;00:09:51.593;18;empty
6014;Vale Reitstetter Begin;00:10:11.572;19;empty
6015;Vale Reitstetter End;00:10:16.447;19;empty
6014;Vale Reitstetter Begin;00:10:33.675;20;empty
6015;Vale Reitstetter End;00:10:33.675;20;empty
6014;Vale Reitstetter Begin;00:12:14.742;21;empty
6015;Vale Reitstetter End;00:12:16.117;21;empty
6014;Vale Reitstetter Begin;00:12:38.985;22;empty
6015;Vale Reitstetter End;00:12:40.934;22;empty
6014;Vale Reitstetter Begin;00:15:07.535;23;empty
6015;Vale Reitstetter End;00:15:11.016;23;empty
6014;Vale Reitstetter Begin;00:15:18.323;24;empty
6015;Vale Reitstetter End;00:15:19.176;24;empty
6014;Vale Reitstetter Begin;00:15:28.230;25;empty
6015;Vale Reitstetter End;00:15:31.145;25;empty
6014;Vale Reitstetter Begin;00:16:29.648;26;empty
6015;Vale Reitstetter End;00:16:33.597;26;empty
6014;Vale Reitstetter Begin;00:18:35.127;27;empty
6015;Vale Reitstetter End;00:18:35.127;27;empty
6014;Vale Reitstetter Begin;00:18:49.806;28;empty
6015;Vale Reitstetter End;00:18:50.690;28;empty
6014;Vale Reitstetter Begin;00:20:24.418;29;empty
6015;Vale Reitstetter End;00:20:25.926;29;empty
6014;Vale Reitstetter Begin;00:20:39.921;30;empty
6015;Vale Reitstetter End;00:20:39.921;30;empty
6014;Vale Reitstetter Begin;00:20:42.369;31;empty
6015;Vale Reitstetter End;00:20:42.732;31;empty
6014;Vale Reitstetter Begin;00:22:10.284;32;empty
6015;Vale Reitstetter End;00:22:10.284;32;empty
6014;Vale Reitstetter Begin;00:22:33.578;33;empty
6015;Vale Reitstetter End;00:22:36.232;33;empty
6014;Vale Reitstetter Begin;00:22:56.728;34;empty
6015;Vale Reitstetter End;00:22:56.974;34;empty
6014;Vale Reitstetter Begin;00:23:51.971;35;empty
6015;Vale Reitstetter End;00:23:51.971;35;empty
6014;Vale Reitstetter Begin;00:24:37.695;36;empty
6015;Vale Reitstetter End;00:24:37.695;36;empty
6014;Vale Reitstetter Begin;00:24:41.808;37;empty
6015;Vale Reitstetter End;00:24:46.921;37;empty
6014;Vale Reitstetter Begin;00:26:00.509;38;empty
6015;Vale Reitstetter End;00:26:01.837;38;empty
6014;Vale Reitstetter Begin;00:27:46.952;39;empty
6015;Vale Reitstetter End;00:27:49.361;39;empty
6014;Vale Reitstetter Begin;00:27:52.128;40;empty
6015;Vale Reitstetter End;00:27:52.128;40;empty
6014;Vale Reitstetter Begin;00:28:15.896;41;empty
6015;Vale Reitstetter End;00:28:15.896;41;empty
6014;Vale Reitstetter Begin;00:28:53.101;42;empty
6015;Vale Reitstetter End;00:28:56.865;42;empty
6014;Vale Reitstetter Begin;00:29:15.889;43;empty
6015;Vale Reitstetter End;00:29:15.889;43;empty
6014;Vale Reitstetter Begin;00:29:19.276;44;empty
6015;Vale Reitstetter End;00:29:22.538;44;empty



Statistic:;
Type:;Count:;
;0;
;0;
;0;
;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
;0;
;0;
;0;
;0;
;0;
;0;
Vale Reitstetter Begin;44;
Vale Reitstetter End;44;
