event_id;event_name;event_time_real;event_counter;comment
6014;Willi Sommer Begin;00:00:09.621;1;empty
6015;Willi Sommer End;00:00:10.797;1;empty
6014;Willi Sommer Begin;00:00:13.943;2;empty
6015;Willi Sommer End;00:00:15.158;2;empty
6014;Willi Sommer Begin;00:00:48.902;3;empty
6015;Willi Sommer End;00:00:48.902;3;empty
6014;Willi Sommer Begin;00:00:55.780;4;empty
6015;Willi Sommer End;00:00:55.780;4;empty
6014;Willi Sommer Begin;00:01:18.178;5;empty
6015;Willi Sommer End;00:01:20.535;5;empty
6014;Willi Sommer Begin;00:01:25.670;6;empty
6015;Willi Sommer End;00:01:29.121;6;empty
6014;Willi Sommer Begin;00:01:49.225;7;empty
6015;Willi Sommer End;00:01:49.225;7;empty
6014;Willi Sommer Begin;00:03:09.932;8;empty
6015;Willi Sommer End;00:03:11.364;8;empty
6014;Willi Sommer Begin;00:03:13.949;9;empty
6015;Willi Sommer End;00:03:13.949;9;empty
6014;Willi Sommer Begin;00:04:47.084;10;empty
6015;Willi Sommer End;00:04:49.420;10;empty
6014;Willi Sommer Begin;00:05:34.029;11;empty
6015;Willi Sommer End;00:05:36.596;11;empty
6014;Willi Sommer Begin;00:07:22.278;12;empty
6015;Willi Sommer End;00:07:23.548;12;empty
6014;Willi Sommer Begin;00:07:26.008;13;empty
6015;Willi Sommer End;00:07:26.872;13;empty
6014;Willi Sommer Begin;00:07:59.130;14;empty
6015;Willi Sommer End;00:08:01.071;14;empty
6014;Willi Sommer Begin;00:08:03.000;15;empty
6015;Willi Sommer End;00:08:03.840;15;empty
6014;Willi Sommer Begin;00:08:09.338;16;empty
6015;Willi Sommer End;00:08:10.215;16;empty
6014;Willi Sommer Begin;00:08:39.850;17;empty
6015;Willi Sommer End;00:08:39.850;17;empty
6014;Willi Sommer Begin;00:10:16.868;18;empty
6015;Willi Sommer End;00:10:21.586;18;empty
6014;Willi Sommer Begin;00:11:45.979;19;empty
6015;Willi Sommer End;00:11:46.821;19;empty
6014;Willi Sommer Begin;00:12:01.782;20;empty
6015;Willi Sommer End;00:12:03.468;20;empty
6014;Willi Sommer Begin;00:12:22.369;21;empty
6015;Willi Sommer End;00:12:26.777;21;empty
6014;Willi Sommer Begin;00:12:42.565;22;empty
6015;Willi Sommer End;00:12:42.565;22;empty
6014;Willi Sommer Begin;00:14:23.514;23;empty
6015;Willi Sommer End;00:14:24.771;23;empty
6014;Willi Sommer Begin;00:14:32.116;24;empty
6015;Willi Sommer End;00:14:34.254;24;empty
6014;Willi Sommer Begin;00:15:35.461;25;empty
6015;Willi Sommer End;00:15:36.119;25;empty
6014;Willi Sommer Begin;00:16:09.976;26;empty
6015;Willi Sommer End;00:16:10.754;26;empty
6014;Willi Sommer Begin;00:16:13.175;27;empty
6015;Willi Sommer End;00:16:14.654;27;empty
6014;Willi Sommer Begin;00:17:01.164;28;empty
6015;Willi Sommer End;00:17:03.964;28;empty
6014;Willi Sommer Begin;00:17:24.096;29;empty
6015;Willi Sommer End;00:17:27.502;29;empty
6014;Willi Sommer Begin;00:17:40.157;30;empty
6015;Willi Sommer End;00:17:41.503;30;empty
6014;Willi Sommer Begin;00:18:36.530;31;empty
6015;Willi Sommer End;00:18:36.530;31;empty
6014;Willi Sommer Begin;00:19:16.428;32;empty
6015;Willi Sommer End;00:19:16.428;32;empty
6014;Willi Sommer Begin;00:20:12.264;33;empty
6015;Willi Sommer End;00:20:12.898;33;empty
6014;Willi Sommer Begin;00:20:28.701;34;empty
6015;Willi Sommer End;00:20:28.701;34;empty
6014;Willi Sommer Begin;00:21:02.220;35;empty
6015;Willi Sommer End;00:21:04.910;35;empty
6014;Willi Sommer Begin;00:21:36.233;36;empty
6015;Willi Sommer End;00:21:36.233;36;empty
6014;Willi Sommer Begin;00:21:49.163;37;empty
6015;Willi Sommer End;00:21:50.127;37;empty
6014;Willi Sommer Begin;00:22:22.011;38;empty
6015;Willi Sommer End;00:22:24.079;38;empty
6014;Willi Sommer Begin;00:23:02.984;39;empty
6015;Willi Sommer End;00:23:04.984;39;empty
6014;Willi Sommer Begin;00:23:38.724;40;empty
6015;Willi Sommer End;00:23:43.536;40;empty
6014;Willi Sommer Begin;00:25:05.618;41;empty
6015;Willi Sommer End;00:25:09.104;41;empty
6014;Willi Sommer Begin;00:25:12.585;42;empty
6015;Willi Sommer End;00:25:14.452;42;empty
6014;Willi Sommer Begin;00:26:32.666;43;empty
6015;Willi Sommer End;00:26:32.666;43;empty
6014;Willi Sommer Begin;00:26:34.841;44;empty
6015;Willi Sommer End;00:26:37.543;44;empty
6014;Willi Sommer Begin;00:28:03.523;45;empty
6015;Willi Sommer End;00:28:06.501;45;empty
6014;Willi Sommer Begin;00:28:59.494;46;empty
6015;Willi Sommer End;00:28:59.494;46;empty



Statistic:;
Type:;Count:;
New Event;0;
New Event;0;
New Event;0;
New Event;0;
;0;
Willi Sommer End;46;
Willi Sommer Begin;46;
New Event;0;
;0;
New Event;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
