event_id;event_name;event_time_real;event_counter;comment
8013;Dennis Dotterweich;00:00:26.078;1;empty
16024;Erik Engelhardt;00:02:25.076;1;empty
6014;Leo Langhans;00:07:01.428;1;empty
6015;Vale Reitstetter;00:07:54.063;1;empty
6018;Leon Heinze;00:08:40.348;1;empty
16023;Roman Hartleb;00:09:43.523;1;empty
6666;Kevin Baer;00:12:19.070;1;empty
7777;Sandro Schneider;00:13:16.821;1;empty
16023;Roman Hartleb;00:13:53.675;2;empty
16023;Roman Hartleb;00:14:45.860;3;empty
6014;Leo Langhans;00:15:49.567;2;empty
16025;Willi Sommer;00:17:42.644;1;empty
16025;Willi Sommer;00:21:06.070;2;empty
16026;Luca Ziegler;00:21:48.223;1;empty
6018;Leon Heinze;00:22:16.307;2;empty
16024;Erik Engelhardt;00:23:20.393;2;empty
6018;Leon Heinze;00:26:04.552;3;empty
6014;Leo Langhans;00:26:07.099;3;empty
16024;Erik Engelhardt;00:26:44.622;3;empty
16022;Philipp Harlass;00:27:37.911;1;empty
16024;Erik Engelhardt;00:27:44.659;4;empty
6015;Vale Reitstetter;00:27:53.799;2;empty
16023;Roman Hartleb;00:28:22.059;4;empty
7777;Sandro Schneider;00:28:28.850;2;empty



Statistic:;
Type:;Count:;
Vale Reitstetter;2;
Leo Langhans;3;
Ben Müller;0;
New Event;0;
New Event;0;
New Event;0;
Sandro Schneider;2;
Luca Ziegler;1;
Willi Sommer;2;
Roman Hartleb;4;
Erik Engelhardt;4;
Philipp Harlass;1;
Dennis Dotterweich;1;
New Event;0;
New Event;0;
New Event;0;
Leon Heinze;3;
Kevin Baer;1;
